collected_at,commence_time,home_team,away_team,home_odds,home_bookmaker,draw_odds,draw_bookmaker,away_odds,away_bookmaker,over25_odds,under25_odds,fair_home,fair_draw,fair_away,overround,league
2026-02-07T12:04:11.895521+00:00,2026-02-07T16:00:00Z,RC Lens,Rennes,1.68,1xBet,4.5,Winamax (DE),5.6,Matchbook,1.52,2.45,0.5976,0.2231,0.1793,0.996,ligue_1
2026-02-07T12:04:11.895607+00:00,2026-02-07T18:00:00Z,Brest,Lorient,2.46,Betfair,3.3,LeoVegas (SE),3.45,Betfair,2.28,1.77,0.4068,0.3032,0.29,0.9994,ligue_1
2026-02-07T12:04:11.895669+00:00,2026-02-07T20:05:00Z,Nantes,Lyon,5.25,Coolbet,3.95,LeoVegas (SE),1.83,Betfair,2.08,1.89,0.1924,0.2557,0.5519,0.9901,ligue_1
2026-02-07T12:04:11.895721+00:00,2026-02-08T14:00:00Z,Nice,AS Monaco,3.38,1xBet,3.95,Betfair,2.2,Betfair,1.53,2.4,0.2948,0.2523,0.4529,1.0036,ligue_1
2026-02-07T12:04:11.895778+00:00,2026-02-08T16:15:00Z,Angers,Toulouse,3.9,Betfair,3.27,1xBet,2.26,Betfair,2.52,1.64,0.2552,0.3044,0.4404,1.0047,ligue_1
2026-02-07T12:04:11.895835+00:00,2026-02-08T16:15:00Z,Auxerre,Paris FC,2.6,LeoVegas (SE),3.4,Coolbet,3.1,1xBet,2.24,1.76,0.3841,0.2937,0.3222,1.0013,ligue_1
2026-02-07T12:04:11.895920+00:00,2026-02-08T16:15:00Z,Le Havre,Strasbourg,4.5,Betfair,3.8,Betfair,1.94,1xBet,2.02,1.93,0.222,0.2629,0.515,1.0008,ligue_1
2026-02-07T12:04:11.895984+00:00,2026-02-08T19:45:00Z,Paris Saint Germain,Marseille,1.48,1xBet,5.5,Matchbook,7.0,Coolbet,1.4,2.75,0.6754,0.1818,0.1428,1.0004,ligue_1
2026-02-07T12:04:11.896023+00:00,2026-02-13T18:00:00Z,Rennes,Paris Saint Germain,6.04,1xBet,4.93,1xBet,1.54,1xBet,0.0,0.0,0.1627,0.1993,0.638,1.0178,ligue_1
2026-02-07T12:04:11.896073+00:00,2026-02-13T20:05:00Z,AS Monaco,Nantes,1.5,Unibet (NL),5.03,1xBet,7.01,1xBet,1.44,2.5,0.6613,0.1972,0.1415,1.0081,ligue_1
2026-02-07T12:04:11.896118+00:00,2026-02-14T16:00:00Z,Marseille,Strasbourg,1.72,1xBet,4.25,1xBet,5.01,1xBet,1.72,2.36,0.5721,0.2315,0.1964,1.0163,ligue_1
2026-02-07T12:04:11.896166+00:00,2026-02-14T18:00:00Z,Lille,Brest,1.77,1xBet,4.0,1xBet,5.02,1xBet,1.93,2.01,0.5571,0.2465,0.1964,1.0142,ligue_1
2026-02-07T12:04:11.896208+00:00,2026-02-14T20:05:00Z,Paris FC,RC Lens,4.26,1xBet,3.8,1xBet,1.93,1xBet,1.91,2.05,0.231,0.259,0.51,1.016,ligue_1
2026-02-07T12:04:11.896222+00:00,2026-02-15T16:00:00Z,AS Monaco,Nantes,1.38,PMU (FR),4.7,PMU (FR),6.5,PMU (FR),0.0,0.0,0.664,0.195,0.141,1.0912,ligue_1
2026-02-07T12:04:11.896265+00:00,2026-02-15T16:00:00Z,Lorient,Angers,2.03,1xBet,3.35,Unibet (NL),5.25,Pinnacle,2.38,1.68,0.5018,0.3041,0.194,0.9816,ligue_1
2026-02-07T12:04:11.896280+00:00,2026-02-15T16:00:00Z,Lille,Brest,1.68,PMU (FR),3.6,PMU (FR),4.7,PMU (FR),0.0,0.0,0.5482,0.2558,0.196,1.0858,ligue_1
2026-02-07T12:04:11.896323+00:00,2026-02-15T16:00:00Z,Le Havre,Toulouse,3.63,1xBet,3.4,Betfair,2.29,1xBet,2.28,1.73,0.2738,0.2923,0.434,1.0063,ligue_1
2026-02-07T12:04:11.896367+00:00,2026-02-15T16:00:00Z,Lyon,Nice,1.66,1xBet,4.26,1xBet,5.64,1xBet,1.79,2.19,0.5938,0.2314,0.1748,1.0145,ligue_1
2026-02-07T12:04:11.896381+00:00,2026-02-15T16:00:00Z,Marseille,Strasbourg,1.64,PMU (FR),3.8,PMU (FR),4.7,PMU (FR),0.0,0.0,0.5616,0.2424,0.196,1.0857,ligue_1
2026-02-07T12:04:11.896394+00:00,2026-02-15T16:00:00Z,Paris FC,RC Lens,3.9,PMU (FR),3.5,PMU (FR),1.8,PMU (FR),0.0,0.0,0.2336,0.2603,0.5061,1.0977,ligue_1
2026-02-07T12:04:11.896411+00:00,2026-02-15T16:00:00Z,Rennes,Paris Saint Germain,5.7,PMU (FR),4.5,PMU (FR),1.5,888sport,1.4,2.62,0.1648,0.2088,0.6264,1.0643,ligue_1
2026-02-07T12:04:11.896452+00:00,2026-02-15T16:15:00Z,Metz,Auxerre,2.92,1xBet,3.1,Unibet (SE),3.0,1xBet,2.27,1.74,0.343,0.3231,0.3339,0.9984,ligue_1
